Article,Origin_City,article_length,Date,since_Date_years,Heading,NewsType,rownumber
"LEEDS: A diligent half-century from Alex Hales, coupled with some home-ground know-how from Jonny Bairstow, helped England to regroup with a 88-run stand for the sixth wicket on the first day of the first Test against Sri Lanka, after their ambitions had been dramatically dented by the loss of five wickets for 34 runs either side of the lunch break.By tea, Hales was unbeaten on 71, his second Test half-century in nine innings and his highest yet, beating the 60 he made against South Africa at Cape Town in January.At the other end was Bairstow, who arrived at the crease with England's innings in crisis at 83 for 5, but responded with the sort of sparky counter-punching. Bairstow's 54 not out from 67 balls took the attack back to Sri Lanka, who nevertheless remained firmly in the contest at 171 for 5, thanks to Dasun Shanaka's sensational debut breakthroughs.After being put into bat on a morning when bowling first was a no-brainer for both captains, England's openers were obliged to rein in the extravagant strokeplay that has coloured so much of their cricket in recent months - a situation that might have been tailor-made for Alastair Cook. He began the match needing another 36 runs to reach 10,000 Test runs, and after getting off the mark with a sixth-ball clip for four through midwicket, appeared well set for the long grind until Shanaka's introduction, in the 18th over of the day, tore up the pre-conceived script.Shanaka launched his Test career with a maiden before striking with the first ball of his second over. Cook had been leaving the ball with his usual sangfroid for most of his 52 deliveries, but having creamed one cover drive off Nuwan Pradeep, he was drawn into another from the slower, wobblier Shanaka. The full length outside off left him a touch, and Cook scuffed an edge through to Dinesh Chandimal, the keeper. He was gone for 16, and still needs another 20 runs to notch up a landmark that has been on his conscience since the start of the South Africa tour in December.Three balls later, however, such thoughts had been whisked out of England's minds. Nick Compton - whose anxieties cannot have been aided by his team-mates' struggles to impose themselves - poked with caution at a perfect off-stump line and length, to squeeze a low edge through to Lahiru Thirimanne at first slip. He was gone for a duck as Shanaka became only the third bowler in Test history, and the first since Richard Johnson in 2003, to claim two wickets before conceding his first career run.And, as if that was not enough of an impact on debut, Shanaka then added England's main man to his tally, as Joe Root - in such golden touch in all formats - was also drawn into a drive that scudded to Kusal Mendis at third slip.It was a dream start for Shanaka, who had been awarded his Test cap by Mahela Jayawardene before the start of play, and a timely boost for a beleaguered Sri Lanka squad too, who began the match knowing that Dhammika Prasad, their matchwinning seamer on this ground two years ago, will miss the whole Test series after flying home to resolve a shoulder injury.By tea, however, Hales and Bairstow had provided their team with a steadying hand, as a forecast rain shower swept in from the Pennines to delay the resumption of play.",LEEDS,3269,2016-05-19T00:00:00.000Z,8,Hales Bairstow rescue England with 88 run unbeaten stand,sports,1334
"MOSCOW: Maria Sharapova may not play again after testing positive for the banned substance meldonium, the president of the Russian tennis federation was quoted as saying on Thursday.Shamil Tarpishchev told a news agency that Sharapova´s situation was ""bad"".The five-times grand slam champion faces a possible ban of up to four years for failing a drugs test at the Australian Open in January.British media reported that she had been due to attend an International Tennis Federation (ITF) anti-doping hearing in London on Wednesday.There has been no subsequent comment by the ITF.Sharapova stunned the world in March when she said she had returned a positive test for the Latvian-made heart medication which was added to the World Anti-Doping Agency´s (WADA´s) banned list from January 1.The world´s highest-paid sportswoman claimed to have been taking meldonium on doctor´s orders for 10 years and had failed to note that it had become a banned substance until hearing of her failed test at the year´s first grand slam.She was provisionally suspended on March 12 pending the hearing, and has lost a number of her lucrative sponsorship deals.She said at the time that she hoped she would be allowed to play again.The World Anti-Doping Agency WADA said in April, after hundreds of athletes had tested positive for meldonium, that bans might be overturned due to a lack of clear scientific information on how long the drug takes to be excreted. ",MOSCOW,1442,2016-05-21T00:00:00.000Z,8,Sharapova may not play again says Russias offici,sports,1357
"LONDON: The publisher of the Daily Mail newspaper said a downturn in the print advertising market was squeezing margins in its media business, resulting in an 11 percent drop in first-half profit and a lower outlook for the year.</strongDaily Mail and General Trust said the operating margin for its media business would be about 10 percent for the year, rather than remaining at last year´s 13 percent.It said the outlook for the full year was now adjusted for the change in guidance to the operating margin.The company said print advertising revenues in the six months to end-March declined by 18 million pounds, with the market deteriorating further in the second quarter.Digital advertising grew strongly, but was not enough to close the gap, it said.The group reported pretax profit for the period of 129 million pounds.",LONDON,832,2016-05-26T00:00:00.000Z,8,Daily Mail downgrades outlook print advertising slu,business,1388
"Barcelona are convinced Brazil captain Neymar will commit his long-term future to the Nou Camp as protracted negotiations between the Spanish champions and the striker continue over an extension to his current deal, which expires in June 2018.</strongThe 24-year-old forward, who just completed his third season at Barca, has attracted the attention of several leading European clubs but his present employers are keen to play down talk that Neymar could soon be plying his trade elsewhere.""Neymar will stay,"" Barca sporting director Robert Fernandez said on the club's official website (www.fcbarcelona.com).""He will reach an agreement with Barca and he will be here for a long time,"" he added. ""The club will make it public when the extension is to be made.""Neymar scored 31 goals in 48 appearances last season to help the club win a domestic league and cup double.Fernandez is also confident that central defender Javier Mascherano, who has two years left on his current deal with the Catalan giants, will remain at the club.Mascherano has been linked in the Spanish media with a move to Italian side Juventus but Barca will not want to lose another defender after Brazilian right back Dani Alves was confirmed to be leaving the club after eight seasons on Thursday.When asked about Mascherano, Fernandez said: ""We are clear. We will reach an agreement. He is a vital player for us and I don't have any doubts about whether he will stay.""The 31-year-old, who can also be deployed as a defensive midfielder, has been a regular for Barca since his arrival from Liverpool in 2010.","Barcelona are convinced Brazil captain Neymar will commit his long-term future to the Nou Camp as protracted negotiations between the Spanish champions and the striker continue over an extension to his current deal, which expires in June 2018.</strongThe 24-year-old forward, who just completed his third season at Barca, has attracted the attention of several leading European clubs but his present employers are keen to play down talk that Neymar could soon be plying his trade elsewhere.""Neymar will stay,"" Barca sporting director Robert Fernandez said on the club's official website (www.fcbarcelona.com).""He will reach an agreement with Barca and he will be here for a long time,"" he added. ""The club will make it public when the extension is to be made.""Neymar scored 31 goals in 48 appearances last season to help the club win a domestic league and cup double.Fernandez is also confident that central defender Javier Mascherano, who has two years left on his current deal with the Catalan giants, will remain at the club.Mascherano has been linked in the Spanish media with a move to Italian side Juventus but Barca will not want to lose another defender after Brazilian right back Dani Alves was confirmed to be leaving the club after eight seasons on Thursday.When asked about Mascherano, Fernandez said",1587,2016-06-03T00:00:00.000Z,8,Barca confident Neymar will commit to long term d,sports,1448
"NEW DELHI: Test teams are excessively exploiting ´home advantage´ by preparing pitches that favour the strengths of the host nation, an International Cricket Council (ICC) panel representing various stakeholders within the sport said on Friday.</strongIndia manipulated conditions to thump South Africa 3-0 last year amid dissatisfaction over the nature of the turning tracks used in the series, including the strip in Nagpur which was rated ´poor´ by match referee Jeff Crowe.The ICC Cricket Committee, headed by former India captain Anil Kumble, is unhappy with the quality of test pitches ""and in particular the common practice of home countries overtly preparing surfaces to suit their own teams"".The panel was also worried about the growing imbalance between bat and ball and has requested the Marylebone Cricket Club (MCC), the custodians of the game´s laws, to curb the use of oversized bats.""The Committee received a research paper from MCC citing a wealth of scientific and statistical evidence showing bats have become more powerful in recent years, primarily due to having larger ´sweet-spots´.""The committee´s view was that MCC should strongly consider limiting the dimensions of cricket bats to help achieve a better balance between bat and ball.""During the two-day meeting which concluded at Lord´s on Wednesday, ICC medical consultant Craig Ranson made a presentation to the panel on injury surveillance trends.The committee recommended toughening helmet standards, an issue that has assumed more importance following Australian batsman Phillip Hughes´ death in 2014 after being struck in the head by a bouncer.""The committee expressed concerns that there were still too many instances of international cricketers wearing helmets which did not meet the latest British Safety Standard (BSS),"" it said.""It recommended that the ICC should enforce the wearing of the latest BSS compliant helmets in all international cricket.""Comprising representatives of various interested associates, the panel makes recommendations to the ICC Chief Executives´ Committee and the ICC Board for approval.",NEW DELHI,2107,2016-06-03T00:00:00.000Z,8,ICC panel concerns home advantage tests Indi,sports,1449
"LAHORE: The Pakistan Cricket Board (PCB) is expected to name a 17-member squad for upcoming series against England, Geo News quoting sources reported on Saturday.</strongAccording to sources, the squad would have three openers, five middle-order batsmen, two wicketkeepers, five fast bowlers and two spinners.Sami Aslam, Khurram Manzoor and Mohammad Hafeez are top contenders for the openers’ slot, whereas middle-order lineup would comprise captain Misbah-ul-Haq, Younis Khan, Azhar Ali, Asad Shafiq and Iftikhar Ahmed.Spin duo of Zulfikar Babar and Yasir Shah, both of whom have played a key role in Pakistan’s major Test victories in the United Arab Emirates, were most favoured to fill in the two slots reserved for spinners.In the fast bowling department, sources said that captain Misbah wanted to take Ehsan Adil on board for the series, other than Mohamamd Amir, Wahab Riaz, Rahat Ali and Imran Khan Jr.As for two wicketkeepers, the selectors have put their faith in Sarfraz Ahmed and Mohammad Rizwan, sources said.Pakistan will start their England tour with the first Test scheduled on July 14, which will be followed by three more Tests, five ODIs and a T20.",LAHORE,1175,2016-06-04T00:00:00.000Z,8,Pakistan 17 member squad England tour,sports,1460
"LAHORE: Pakistan Cricket Board (PCB) has restricted fast bowler Mohammad Amir’s off the field activities in England tour by issuing a special ‘code of conduct’ prepared for paceman.</strongAccording to the new ‘code of conduct’ Mohammad Amir is advised to keep focus only on the game.Mohammad Amir would not to allowed to give interviews to media. During the England tour the paceman could not sign any commercial agreement, the code of conduct stated.Sources said that Mohammad Amir has accepted PCB’s code of conduct.Mohammad Amir´s return after serving a five-year ban over spot fixing case was initially resented by some of his team mates but the 24-year-old left-arm paceman has enjoyed steady support from PCB.Newly appointed head Coach Mickey Arthur has also promised to do everything in his power to help Mohammad Amir realise his full potential after the bowler was granted a visa for the team´s upcoming tour of England.",LAHORE,937,2016-06-10T00:00:00.000Z,8,PCB clips Mohammad Amirs wings England tour Pakistan cri,sports,1521
"NEW DELHI: Spin bowling great Anil Kumble is among the biggest names to have applied for the high-profile job as India head coach, according to media reports.</strongThe Board of Control for Cricket in India (BCCI) said Sunday that it had received 57 applications for the post but did not reveal any names.Former team director Ravi Shastri, current chief selector Sandeep Patil and ex-pace bowler Venkatesh Prasad were among a few top former players who made their coaching intentions public.But on Monday Kumble, who has mentored Indian Premier League sides such as Mumbai Indians and Royal Challengers Bangalore, was reported to have also thrown his hat in the ring.""Yes, I have applied,"" the former India skipper was quoted as saying by The Indian Express newspaper.The 45-year-old bagged 619 Test wickets in 132 matches and is only the second bowler in cricket history after England´s Jim Laker to have taken all 10 in a Test innings.Kumble has previously served as the president of his state association in Karnataka and headed BCCI´s technical committee. He is currently the chairman of the ICC cricket committee.However Kumble does not fit the BCCI criteria of having ""coached a cricket team of any of the member countries of the ICC (International Cricket Council), at the first class or at the International level"".Overseas coaches such as Australia´s Stuart Law and Dav Whatmore, who was recently sacked by Zimbabwe, are also being floated by India´s media as possible applicants.The list will now be pruned by board secretary Ajay Shirke and the appointment of the new coach is expected to be made before India´s tour to the West Indies in July.",NEW DELHI,1663,2016-06-14T00:00:00.000Z,8,Anil Kumble applies India coaching job repor,sports,1562
"KUWAIT CITY: From Dubai to Tunis, Euro 2016 football fever is sweeping the Arab world, filling cafes and restaurants and overshadowing the nightly television soap operas that normally dominate Ramazan viewing.Every year, during the Muslim fasting month, television audiences soar as families gather in front of their sets after breaking the daytime fast.Usually the ratings are dominated by the dozens of rival soaps that are aired by state and private channels. But this year, Ramazan coincides with the Euros which are another massive draw.Cafes in the Egyptian capital have draped the flags of competing countries over their entrances to attract fans. Some games are played during the day, when devout Muslims are fasting, while others clash with the iftar meal which breaks the daily fast at sunset.In Tunisia, where most cafes are closed during daylight hours in Ramazan, the venue moves to people´s homes. Evening games begin a few minutes after Muslims break their fast, a time most Tunisians spend with their families watching television.Television viewing in the region peaks during Ramazan with ratings remaining high well into the night and advertisers devote large chunks of their budget to the small screen´s high season.With most games showing on foreign satellite channels, the main Tunisian channels have scheduled daily analysis programmes on the matches.Ramazan hasn´t stopped people following the contest on big screens in the Gulf.In Kuwait, whose national team was banned by FIFA in October from taking part in World Cup qualifying matches because of alleged government interference in sports, fans take consolation in the Euros.Germany, the reigning world champions, are the most supported team in Kuwait and in many other Arab countries, exceeding defending European champions.In Dubai, one restaurant has erected a huge tent on the beach with big screens to show the games.",KUWAIT CITY,1897,2016-06-17T00:00:00.000Z,8,Ramazan time Euro 2016 fever sweeps Arab world,sports,1593
"BANGKOK: Australian big hitter Scott Hend overcame a two-shot deficit to snatch victory in the Queen´s Cup on Thailand´s Koh Samui island on Sunday as overnight leader Prom Meesawat stumbled.The 42-year-old finished the day with a four-under-par 67, one shot ahead of runner-up and local talent Gunn Charoenkul in the $300,000 competition at the Santiburi Samui Country Club.It was Hend´s second title of the season and his ninth career victory on the Asian Tour.Hend, the most successful international player on the tour, said he was pleased to make up for some recent near-wins in Mauritius and China.""Whether this was my golf course or not, I´ve been playing very good golf and trying to not get down on myself. It´s nice to win again,"" he said, according to a report by tour organisers.Two late bogeys saw Thailand´s Prom go from starting the day out in front to ending with a disappointing 72.He finished in joint third alongside American Paul Peterson, Korea´s Wang Jeung-hun and Thailand´s Pavit Tangkamolprasert.",BANGKOK,1020,2016-06-19T00:00:00.000Z,8,Hend secures victory in Queens Cu,sports,1612
"PARIS: Mario Gomez struck as world champions Germany beat Northern Ireland 1-0 in Paris on Tuesday to qualify for the Euro 2016 knockout phase as winners of Group C.</strongDrafted in to address the goal-scoring problems witnessed in Germany´s 0-0 draw with Poland, the on-loan Besiktas striker netted from Thomas Mueller´s pass in the 30th minute at Parc des Princes.That Germany did not win more handsomely was due largely to the excellence of Northern Irish goalkeeper Michael McGovern.But it was enough to preserve their position at the top of the group on goal difference above Poland, who beat Ukraine by the same scoreline in Marseille.Joachim Loew´s side will now turn their thoughts to a last 16 tie against either Albania, Slovakia or the third-place team in Group F -- which is yet to conclude -- in Lille on Sunday.Michael O´Neill´s Northern Ireland, meanwhile, must wait to have their qualification confirmed.They finished third in the group, but their 2-0 win over Ukraine last week puts them in a strong position to go through as one of the four best third-place teams in what is their first European Championship finals.O´Neill kept faith with the team that had overcome Ukraine, but whereas his side had set the tempo in Lyon, they were immediately on the back foot against Germany.With full-backs Jonas Hector and Joshua Kimmich pushing high up on either flank and Jerome Boateng and Toni Kroos lofting passes behind the Northern Irish defence, Germany effectively took up residence in the final third.",PARIS,1527,2016-06-21T00:00:00.000Z,8,Gomez guides Germany into Euro 2016 knockou,sports,1630
"LONDON: British financial markets were engulfed in further turmoil on Monday, with 10-year government borrowing costs sinking below 1 percent for the first time and sterling hitting a 31-year low against the dollar as investors bet Britain's vote to leave the EU will trigger a Bank of England rate cut.</strongBillions of pounds were wiped off the value of British bank stocks as a political vacuum and economic uncertainty opened up by Thursday's referendum prompted widespread downward revisions to the outlook for UK growth, sterling and interest rates.Sterling fell as low as $1.3122 , a decline of almost 4 percent to its lowest since September 1985, and bond yields chalked up their biggest two-day fall since the BoE started its quantitative easing bond buying binge in March 2009.The market value of Barclays and Royal Bank of Scotland is down by a third in just two days, meaning the UK taxpayer has lost 8 billion pounds since Thursday via the Treasury's 72 percent stake in RBS.""The UK economy is headed for recession,"" analysts at Llewelyn Consulting said on Monday.""Potential output has been cut at a stroke (and) the country's large twin deficits leave it exposed to capital flight. Only the Bank of England remains fully functional. It has the tools to ensure financial solvency, but not economic activity,"" they said.Finance minister George Osborne said on Monday the economy would have to face up to ""an adjustment"" as it dealt with the fallout of 'Brexit'. But investors again shunned the pound and sought the safety of government bonds.UK money and bond markets moved to price in lower interest rates, with swaps rates now almost fully implying a 0.25 percentage-point cut from the BoE by the end of the year.The yield on 10-year UK government bonds tumbled as much as 15 basis points to a new low of 0.933 percent, and two-year yields fell more than 10 basis points to a four-year low of 0.129 percent.The 10-year yield has fallen 44 basis points since Thursday, its biggest two-day fall since March 2009.""You'd have expected there to be some psychological barrier to gilts breaking through 1 percent, but not today,"" said Luke Hickmore, senior investment manager at Aberdeen Asset Management.""Gilt yields just kept dropping. It's no wonder. There's no political leadership in the UK right when markets need the reassurance of direction,"" he said.Sterling fell almost 4 percent against the dollar to a fresh 31-year low of $1.3122 , and the euro rose almost 3 percent to 83.64 pence, its highest in more than two years.The pound's fall on Friday was the largest in modern history, reaching more than 10 percent against the dollar at one stage, and was also the largest decline since at least the 1970s on a trade-weighted basis.RBC Capital Markets now expect the BoE to cut rates by 25 basis points next month to 0.25 percent, and again in August down to 0.1 percent along with an additional 50 billion pounds of quantitative easing bond-buying stimulus. Several banks, including Goldman Sachs and Bank of America Merrill Lynch, cut their sterling forecasts too.""With the Leave vote creating greater uncertainty over the outlook for the economy and BoE policies biased towards further easing/renewed QE, sterling is vulnerable to further near-term selling pressure,"" said Athanasios Vamvakidis, FX strategist at BAML.""A push below $1.30 cannot be ruled out,"" he added.Others, like Unicredit, reckon the pound will fall even further, perhaps to $1.20 or even lower.",LONDON,3492,2016-06-27T00:00:00.000Z,8,Sterling at lowest since 1985,business,1678
"ARGENTINA: They were two small Argentina players with the same enormous challenge -- to meet the expectations of a soccer-mad country.</strongDiego Maradona and Lionel Messi have both proved themselves to be skillful giants on the world soccer stage despite their diminutive frames of 1.65 and 1.70 metres respectively.But, while Maradona reached the heights by lifting the World Cup, Messi's only major international honour has been Olympic gold at the 2008 Beijing Games, even though at club level he has won four Champions Leagues with Spanish greats Barcelona.Argentina's failure to beat Chile in the final of the Copa America Centenario in the United States, a fourth lost final with the national team for Messi, proved too much for the little magician and he chose to quit international football on Sunday.“The pressure (Messi) got from fans and media was and is very big. ‘Messi must continue with the Maradona legacy’ is the message,” sports medicine specialist Norberto Debbag said.“The fans expect him to be leader and football star at the same time but it appears he’s not prepared for the social pressure the national team demands,” he told the Argentine website www.infobae.com.Maradona, who had so much natural skill that he would often juggle the ball during the team's warm-up with his bootlaces still undone, was always going to be a hard act to follow in an Argentina shirt.He had to be pulled out of a cesspit he fell into as a two-year-old, fought tooth-and-nail for everything he achieved and, with his immense footballing talent, led Argentina to their second World Cup triumph in 1986 in Mexico.It was rarely easy, though. POOR RESULTSArgentina arrived in Mexico after disappointing results in warm-up games and even the country's president was trying to get coach Carlos Bilardo replaced for fear of a poor tournament but a them-and-us attitude helped steer Maradona’s team through.Argentina fans have always wanted Messi to replace him as the team's leader on such crusades, creating unbearable pressure with each failure to end a trophy drought dating back to 1993.The street-wise urchin approach that served Maradona so well does not work for Messi.Taking into account the Confederations Cup, Argentina have lost seven major finals since 1995, three of them to arch-rivals Brazil, and four since Messi's debut in 2005, including the 2014 World Cup final defeat by Germany.The man closest to the force of personality brought to the team by Maradona and former defender Oscar Ruggeri, who captained Argentina to their 13th and 14th Copa America titles in 1991 and 1993, is Javier Mascherano.But he has suffered even more than Messi with defeats in five finals from 2004.Coach Gerardo Martino brought in former Argentine rugby union international Federico Todeschini in March to help his team with their motivation.Argentina went on a run of eight straight wins, including a tournament group stage victory over Chile without an injured Messi. But for the final, they evidently needed something extra.Harmony appeared to reign in the squad, Messi came back into the team after recovering and scored a record 55th goal for his country against the United States in the semi-final.But he also had a troubled start to the build-up to the final, openly criticising the Argentine FA (AFA) over disrupted travel plans from Houston to East Rutherford in New Jersey.He then decided to stay quiet over his team’s complaints about a lack of proper support from the AFA until after the final, telling reporters: “I’ll tell you afterwards.”However, Argentina's defeat on penalties for the second time in a year to Chile has overtaken Messi's concerns for now.",ARGENTINA,3676,2016-06-28T00:00:00.000Z,8,Messi fails to match Maradona success in Argentina shir,sports,1698
"VENICE: After losing the job of Pakistan’s head coach, Waqar Younis is spending family time with his children in Europe, roaming around the Rome and praising the beauty of Italy.</strongBut someone is missing in the trip and this family man was not hesitant to express his feelings about her openly on social media.While being in Venice, Waqar Younis took Twitter to show his longing for his wife by posting a picture with his kids.“Just got to the most romantic place in the world. Family is incomplete without Dr. Faryal Waqar, missing dearly at Venice,” he wrote. dir=""ltr"" lang=""en"">— waqar younis (@waqyounis99) <a href=""https://twitter.com/waqyounis99/status/748171738379325440"">June 29, 2016</aWaqar Younis is considered one of the best ever to play for Pakistan. He took more than three hundred wickets in both Test and ODI cricket and became head coach of the Pakistani cricket team after retirement.He set a record by becoming the youngest-ever Test captain for Pakistan at twenty-two years and fifteen days old.He and Wasim Akram formed one of the most lethal bowling combinations of their era while representing Pakistan.",VENICE,1140,2016-06-30T00:00:00.000Z,8,Waqar Younis missing wife romantic place Veni,sports,1726
"LONDON: Roger Federer put his global army of ""Fed-Head"" fans through the wringer for four nerve-shredding sets before he kept alive his pursuit of a record eighth Wimbledon title with a 6-7(4) 4-6 6-3 7-6(9) 6-3 win over Marin Cilic the quarter-finals on Wednesday.</strongNovak Djokovic's shock third round exit had raised hopes that this could be the week when the Swiss finally ends his four-year hunt for an 18th grand slam title, as the Serb had been the only man to beat him at the majors over the past year.However, all those expectations appeared to be heading for the dustbin as Cilic stood one point away from victory -- not once, not twice but three times in a pulsating fourth set that had everyone on the edge of their seats.Three huge serves kept Federer alive -- just -- and he then produced the kind of form, and outrageous shots, that has made him the most successful man in tennis by stealing the tiebreak 11-9.An ace on his first match point finished off the job after three hours, 17 minutes of high drama and carried him into an 11th Wimbledon semi-final, and 40th overall in the majors.""I knew I was in so much trouble in the third and again in the fourth,"" Federer said after walking off Centre Court to a standing ovation.""It wasn't going well for me. So for me it was about staying in the match and somehow hope for his level to drop ... and maybe get a bit lucky. That's exactly what happened at 3-3, 0-40 (in the third set),"" added Federer about the game where he saved three break points.""Obviously the breaker was crazy. It was an incredible match. Marin is one of the nicest guys on the tour so I feel sorry for him but for me the dream continues.""The win also made him the most successful player, man or woman, at the majors as he chalked up a record 307th singles win.""I cannot believe Roger Federer won that match. How did he get out of that?"" gushed American great John McEnroe.""You've got to love the courage that he is able to find a way to do that, that is a killer loss.""Having missed last month's French Open with a back injury, the five set thriller also delivered a knockout punch to those thinking the Swiss third seed did not have the stamina to last the distance.""It's really encouraging for me to see that I am improving. As the match goes on, I was able to sustain a really high level of play,"" added the 34-year-old, who came back from two-sets down for the 10th time in his career.""My legs were there, my back was there, serving was key. Plus mentally this is going to give me a hell of a boost. I am ecstatic that I was able to come through somehow.""He will face another big-server, Canadian Milos Raonic, for a place in Sunday's final.",LONDON,2692,2016-07-07T00:00:00.000Z,8,Federer pulls off great escape to reach Wimbledon semi,sports,1800
"LONDON: Azhar Ali´s fine form with the bat gave Pakistan the perfect boost ahead of the first Test with England next week as he stroked his second successive century in their tour match with Sussex on Friday.</strongAli, who made an unbeaten 101 in the second innings of their game with Somerset earlier this week, hit a fine 145 -- admittedly against an under-strength second-division county side attack -- as the tourists finished the first day on 363 for five.Veterans Younis Khan and Misbah-ul-Haq made half centuries with Sussex thankful that debutant pace bowler Jofra Archer didn´t suffer from nerves as he returned impressive figures of four for 49.Indeed the 21-year-old West Indian had the Pakistanis in trouble early on with a two-wicket blast that saw them reduced to 49-2.But a third wicket stand of 125 between Ali and Younis turned the match back in Pakistan´s favour until Younis fell on 59 to a catch by Ajmal Shahzad off the bowling of Danny Briggs.Misbah quickly replaced his team-mate and kept Pakistan on track, reaching 221 for three at tea, before he became another victim of Archer when he trapped him lbw on 68.Ali too was to fall before stumps, Archer having him caught by Ben Brown.",LONDON,1216,2016-07-09T00:00:00.000Z,8,In form Ali boosts Paki,sports,1820
"PARIS: Portugal may have experience of a European Championship final, but Sunday´s Euro 2016 showpiece against France will be a role reversal for them.</strongCristiano Ronaldo was a teenager when Portugual, with Luis Figo as their talisman, suffered a shock 1-0 defeat to Greece before a disbelieving crowd in Lisbon in the Euro 2004 final.Twelve years on, Real Madrid superstar Ronaldo and veteran centre-back Ricardo Carvalho are the only survivors in the Portuguese squad from that game as they prepare to face the hosts for the Euro 2016 title at the Stade de France.Just like Greece in 2004, Portugal have not won too many admirers with their performances in France. They failed to win a game in 90 minutes before defeating Wales 2-0 in the semi-finals.However, they now have a glorious chance to follow in the footsteps of that Greek side by beating France in the final and spoling the home party.Coach Fernando Santos knows that France are under pressure to win the trophy on home soil, just as they did at the 1984 Euros and at the 1998 World Cup. But he expects them to cope with that better than Portugal did more than a decade ago.""There is pressure. We have that experience from 2004. But the France players are playing at home and they´re very experienced,"" Santos told reporters at the Stade de France on Saturday.""Their players play in the best teams and they are used to very intense games. Some of them played in the Champions League final.""They are very experienced and Didier Deschamps is a very experienced manager. I´m sure Didier is taking care of that. All I do is think of how my players will play and I want them to play their best in order to win.""A tearful Ronaldo and his distraught team-mates were stunned by their failure in that final and must have wondered if they would ever get so close to major tournament glory again.Now they are 90 minutes away from the title and after the semi-final win against Wales Ronaldo said: ""I hope on Sunday you´ll see me crying with joy.""",PARIS,2011,2016-07-10T00:00:00.000Z,8,Painful lesson of 2004 can be inspiration for Portug,sports,1825
"LAUSANNE: A Court of Arbitration for Sport decision on the two-year doping ban for Maria Sharapova has been put back two months to September, the court said Monday, ruling the tennis superstar out of the Rio Olympics.</strongThe 29-year-old Russian, one of the biggest names in tennis, tested positive for the banned medication meldonium during January´s Australian Open, in a severe blow to her reputation.""Maria Sharapova and the International Tennis Federation (ITF) have agreed to defer the CAS decision until September 2016,"" said a CAS statement.""Due to the parties requiring additional time to complete and respond to their respective evidentiary submissions, and several scheduling conflicts, the parties have agreed not to expedite the appeal. A decision is expected to be issued by September 19, 2016.""The original ruling was expected by July 18, with Sharapova hoping that a successful appeal would have allowed her to spearhead the Russian tennis team in Rio.Russia´s participation at the Games, which begin on August 5, is already under fierce scrutiny after its track and field team was banned for separate state-sponsored doping.Sharapova´s ban was backdated to January 26 this year, when she tested positive for the prohibited substance.Meldonium was added to the world anti-doping WADA list on January 1. Sharapova said she had been taking it for 10 years to help treat illnesses, a heart issue and a magnesium deficiency.Sharapova has previously blasted the ban as ""unfairly harsh"".The CAS statement added: ""In her appeal to the CAS, Ms Sharapova seeks the annulment of the (ITF) tribunal´s decision to sanction her with a two-year period of ineligibility further to an anti-doping rule violation.""Ms Sharapova submits that the period of ineligibility should be eliminated, or in the alternative, reduced. The final decision will be announced and published by CAS when it is available.""",LAUSANNE,1911,2016-07-11T00:00:00.000Z,8,Sharapova out of Rio CAS delays doping decisi,sports,1831
"ISLAMABAD: Government has allocated Rs18 billion to multiply sales volumes up to 35 billion a year and stem the country’s foreign trade, according to a report.</strongTwo key markets UAE and Saudi Arabia will be explored and targeted to multiply the export volume while latest fashion wear mangoes high tech electronics and top grade pharmaceutical are some of the exportable products, reported Khaleej Times.It said that the UAE s current share of exports from Pakistan is four per cent the Ministry of Finance said.UAE not only imports a large number of items for its own use but also serves as a transit point to import goods from Pakistan and several countries for sale and shipment to other countries in the Middle East Africa and even South East Asia.It added that even Pakistan imports a large number of raw materials and consumer goods through the UAE particularly Dubai because it is an excellent transit point has low cost shipping tariff and efficient banking and communications.The industry business and exporters now have the latest version of the Strategic Trade Policy Framework (STPF) 2015 18. Implementation of these plans through government funding for various industries and industrial units and training by foreign trainers will enlarge output and offer high quality products to attract global consumers.",ISLAMABAD,1331,2016-07-18T00:00:00.000Z,8,Pakistan 35 billion exports target boost industry,business,1889
"NEW YORK: The post-Brexit blues continued as the British pound declined further against other major currencies on Friday.</strongThe decline of the composite Purchasing Managers Index to 47.7 this month from 52.4 in June, its lowest level since April 2009, was the first evidence that Britain was entering a downturn, according to Samuel Tombs of Pantheon Macroeconomics.""If the PMI remains at July´s level in August and September, it will be consistent on past form with a 0.4 percent quarter-on-quarter decline in GDP"" in the third quarter, said Tombs.The pound sterling was down 0.9 percent against the US dollar at $1.3112 and down 0.9 percent against the yen at 139.21, while the euro was up 0.4 percent against the pound at 83.71 pence.",NEW YORK,749,2016-07-23T00:00:00.000Z,8,Pound continues slide on forex mar,business,1937
"PALLAKELE: Australia´s Nathan Lyon on Thursday became the country´s first off-spinner to bag 200 Test wickets, during his team´s first Test against Sri Lanka in Pallekele.</strongLyon claimed Sri Lanka´s Dhanajay de Silva, who was caught at midoff, to reach the milestone in the second session of the third day´s play, triggering celebrations in the Aussie camp.Lyon, who had already passed former Australian off-spinner Hugh Trumble´s tally of 141 wickets, has now picked up five wickets in the game which looks evenly balanced.Lyon, playing in his 55th Test, made his debut in 2011 in Sri Lanka´s Galle, the venue for the next match in the series.",PALLAKELE,656,2016-07-28T00:00:00.000Z,8,Australias Lyon enters 200 wicket club T,sports,1985
